SteamID,Status,DiscordID,Username,DisplayName,Name,ImageURL,Twitter,Twitch,Youtube,ORIClanTag,ORIClanDisplayName,NOWClanTag,NOWClanDisplayName,TouboFlag,WebFlag,QCModal,QCMap
76561199568720731,Added,955856367971860481,cozue_ns.,こづえ 猫鈴,猫鈴こづえ,https://pbs.twimg.com/profile_images/1720459073399975936/4QBHqzvi_400x400.jpg,https://x.com/cozue_ns,https://www.twitch.tv/cozue_ns,,,兵庫,Kochi,高知,,true,true,true
76561198141621433,Added,358209857276477440,gomiko41,五味,五味,https://pbs.twimg.com/profile_images/1721719942897422336/b8aYNXik_400x400.jpg,https://x.com/gomiko41,,https://www.youtube.com/@gomiko41,,北海道,Hokkai,北海道,,true,true,true
76561198000930514,Added,548155041853472774,yamamotoyousuke,山本洋介,山本洋介,https://pbs.twimg.com/profile_images/1664535298695643138/fScslmVY_400x400.jpg,https://x.com/yousukebiggod,https://www.twitch.tv/yousukebiggod,https://www.youtube.com/channel/UCPKNuBTDqAOsx6cNyBvU-2Aq,,北海道,Hokkai,北海道,,true,true,true
76561198031947006,Added,362183786391273472,jukkaahonen,JukkaAhonen,ユッカアホネン,https://pbs.twimg.com/profile_images/1779006956428283904/BM9lxPjW_400x400.jpg,https://x.com/Jukka_ahonenJ,https://www.twitch.tv/jukkaahonen,,,北海道,Hokkai,北海道,,true,true,true
76561198154604237,Added,1195898841715720327,uuron1111,うーろんチャ,うーろん,https://pbs.twimg.com/profile_images/1566605067645382657/s236nDv__400x400.jpg,https://x.com/uu_to_run,https://www.twitch.tv/uuron1205,https://www.youtube.com/@uu_to_run,,千葉,TOTIGI,栃木,,true,true,true
76561199573956845,Added,477490252760481795,shop1108,しょぴ,sho-p,https://pbs.twimg.com/profile_images/1482176858863013892/2NULtKrQ_400x400.jpg,https://x.com/sho_p_7,,https://www.youtube.com/@sho-p,,千葉,TOTIGI,栃木,,true,true,true
76561199090393022,Added,902486800394747905,marugamech,まるのゲーム実況CH / marth,まるのゲーム実況チャンネル,https://pbs.twimg.com/profile_images/1228194327123202048/5NOkEjB__400x400.jpg,https://x.com/maru_game_ch,https://www.twitch.tv/maru_fps_ch,https://www.youtube.com/channel/UConLWzlUVZBWXgAIXjevwNg,,千葉,TOTIGI,栃木,,true,true,true
76561198094728450,Added,252434929533583361,sunewo,すねを,すねを,https://pbs.twimg.com/profile_images/1734012443880554496/HmcDceru_400x400.jpg,https://x.com/sunegaming,,https://www.youtube.com/channel/UCEXIl68eEu1AuI9lpe4QEIA,,和歌山,OKNW,沖縄,,true,true,true
76561198142829153,Added,189024357882789888,reita0123,re-ta.,re-ta.,https://pbs.twimg.com/profile_images/1741771470089682944/R953wixf_400x400.jpg,https://x.com/Palmette_r,https://www.twitch.tv/reita0123_,,,和歌山,OKNW,沖縄,,true,true,true
76561197990332406,Added,1130490499808108636,apamen,apaMEN,apaMEN,https://pbs.twimg.com/profile_images/1471003627980406788/IFt8ah2c_400x400.jpg,https://x.com/apamelol,https://www.twitch.tv/apamenlol,,,和歌山,OKNW,沖縄,,true,true,true
76561199064654824,Added,700180643514155038,roa0010,ろあにき,ろあにき,https://pbs.twimg.com/profile_images/1862335983292735488/D1tieToB_400x400.jpg,https://x.com/Venus_Pokemon1,https://www.twitch.tv/x1cybil_roa,,,埼玉,TOTIGI,栃木,,true,true,true
76561198199115229,Added,498845815238819851,kobujet,KOBUJET,KOBUJET,https://pbs.twimg.com/profile_images/1830975254933786624/fldJyibm_400x400.jpg,https://x.com/kobujet,https://www.twitch.tv/kobujet,,,埼玉,TOTIGI,栃木,,true,true,true
76561198175369303,Added,973988538859278336,yossy_dayo_,よっしー,よっしー,https://pbs.twimg.com/profile_images/1781491247552876544/Nd6fHBu-_400x400.jpg,https://x.com/yossy_dayo_,https://www.twitch.tv/yossy_dayo_,https://www.youtube.com/channel/UCr7Gi3-APD82VgFjzWGmSyg,,埼玉,TOTIGI,栃木,,true,true,true
76561199487599629,Added,1087249153312165918,meeesy33,おミチル,おミチル,https://pbs.twimg.com/profile_images/1874472446528823296/XOPOWnah_400x400.jpg,https://x.com/meeesy33,,https://www.youtube.com/@meeesy33,,大阪,Osaka,大阪,,true,true,true
76561199096141567,Added,891408663925911573,rinnne_,凛音 / RINNNE,凛音,https://pbs.twimg.com/profile_images/1833804706428354560/NBhNvrZ6_400x400.jpg,https://x.com/R1NNNE,,https://www.youtube.com/@RINNNE,,大阪,Osaka,大阪,,true,true,true
76561199419626223,Added,899623443782328370,nonemu2523,のねむ,のねむ,https://pbs.twimg.com/profile_images/1841212478585491456/VKwlsrr5_400x400.jpg,https://x.com/n0ne3u,https://www.twitch.tv/n0ne3u,,,奈良,Osaka,大阪,,true,true,fix
76561198974589885,Added,1096453893283647499,amane__rain,雨音れいん☔,雨音れいん,https://pbs.twimg.com/profile_images/1834668771937861635/1JbYWj-q_400x400.jpg,https://x.com/amane_rain_tv,https://www.twitch.tv/amane_rain_tv,,,奈良,Osaka,大阪,,true,true,fix
76561198371512144,Added,711134203856551946,kikyou_nemu,ねねねねねむち,桔梗ねむ,https://pbs.twimg.com/profile_images/1850934766868348928/k8F8G4Xh_400x400.jpg,https://x.com/kikyou_nemu,https://www.twitch.tv/nemu_ovo,,,奈良,Osaka,大阪,,true,true,fix
76561198832201616,Added,451636800595689473,masamune73,Masamune73,Masamune73,https://pbs.twimg.com/profile_images/1895289315640647690/OMnz4iYw_400x400.jpg,https://x.com/Masamune_73,https://www.twitch.tv/masamune73,,,宮城,MIYAGI,宮城,,true,true,true
76561198802059195,Added,421914169202442241,xxoabubu,あぶ,あぶ,https://pbs.twimg.com/profile_images/1620386913797685250/7Blgt2Q7_400x400.jpg,https://x.com/XXoAbubu,https://www.twitch.tv/xxoabubu,https://www.youtube.com/@xxoabubu,,宮城,MIYAGI,宮城,,true,true,true
76561198399290603,Added,522748194233384961,kiba0615,きば,きば,https://pbs.twimg.com/profile_images/1792884257419128832/YMGMvveX_400x400.jpg,https://x.com/Fangfr,https://www.twitch.tv/kibabagaming,https://www.youtube.com/@BLUE_PROTOCOL,,宮城,MIYAGI,宮城,,true,true,true
76561199019913691,Added,633491568698851348,ruki2615,るき,るきあ,https://pbs.twimg.com/profile_images/1844367701881618432/8I5E6SES_400x400.jpg,https://x.com/1OeOeOe,https://www.twitch.tv/rukiaday,,,宮崎,Osaka,大阪,true,false,false,
76561199201936595,Added,,,かなぬん,かなぬん,https://pbs.twimg.com/profile_images/1835599640659722240/hNN4v8z5_400x400.jpg,https://x.com/KananunVtuber,https://www.twitch.tv/kananun0912,,,宮崎,OKNW,沖縄,,true,true,true
76561199389971056,Added,,,RETASU,RETASU,https://pbs.twimg.com/profile_images/1881656606666166272/iAMVnOp7_400x400.jpg,https://x.com/RETASU_ttv,https://www.twitch.tv/retasu_ttv,,,宮崎,OKNW,沖縄,,true,true,true
76561199346311551,Added,653433219328507954,tukineko08,tukineko08,tukineko08,https://pbs.twimg.com/profile_images/1850566819448508416/ITrZL6fv_400x400.jpg,https://x.com/b_bs44308308,https://www.twitch.tv/tukineko08,,,富山,FKSM,福島,,true,true,true
